11854,"2015-05-29 07:14:24.346391",2015_5_29_7_14_24_346391,dt
9955,"2015-05-29 11:18:51.434287",2015_5_29_11_18_51_434287,dt
13731,"2015-05-29 12:38:25.991288",2015_5_29_12_38_25_991288,dt
26053,"2015-05-31 19:24:34.758669",2015_5_31_19_24_34_758669,nt
41218,"2015-06-12 17:23:38.665080",2015_6_12_17_23_38_66508,dt
26776,"2015-06-13 08:54:11.149925",2015_6_13_8_54_11_149925,dt
29874,"2015-06-13 12:47:56.522462",2015_6_13_12_47_56_522462,dt
23469,"2015-06-13 14:50:16.460100",2015_6_13_14_50_16_460100,dt
37265,"2015-06-13 16:12:38.708572",2015_6_13_16_12_38_708572,dt
41677,"2015-06-13 17:13:19.327380",2015_6_13_17_13_19_32738,dt
31674,"2015-06-14 07:46:48.101763",2015_6_14_7_46_48_101763,dt
26629,"2015-06-14 08:52:16.234679",2015_6_14_8_52_16_234679,dt
29514,"2015-06-14 11:52:38.417929",2015_6_14_11_52_38_417929,dt
32905,"2015-06-14 15:14:42.317688",2015_6_14_15_14_42_317688,dt
30441,"2015-06-14 17:26:36.790484",2015_6_14_17_26_36_790484,dt
41546,"2015-06-14 19:07:55.304261",2015_6_14_19_7_55_304261,nt